nameWithOwner,url,createdAt,stargazers,releases
apache/zeppelin,https://github.com/apache/zeppelin,2015-03-25T07:00:06Z,5972,0
wyouflf/xUtils3,https://github.com/wyouflf/xUtils3,2015-10-28T10:56:04Z,5957,9
antoniolg/androidmvp,https://github.com/antoniolg/androidmvp,2014-04-02T05:42:20Z,5955,0
joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo,2013-06-22T22:28:53Z,5945,62
gzu-liyujiang/AndroidPicker,https://github.com/gzu-liyujiang/AndroidPicker,2015-10-21T14:21:16Z,5881,54
lightbend/config,https://github.com/lightbend/config,2011-12-06T08:02:29Z,5868,0
prolificinteractive/material-calendarview,https://github.com/prolificinteractive/material-calendarview,2015-02-09T22:31:56Z,5850,22
JesusFreke/smali,https://github.com/JesusFreke/smali,2012-09-23T19:51:16Z,5821,0
springfox/springfox,https://github.com/springfox/springfox,2012-05-06T06:38:57Z,5786,12
google/grafika,https://github.com/google/grafika,2013-12-19T18:36:53Z,5776,1
graphql-java/graphql-java,https://github.com/graphql-java/graphql-java,2015-07-06T06:52:20Z,5764,49
springside/springside4,https://github.com/springside/springside4,2012-02-23T08:39:03Z,5759,3
lets-blade/blade,https://github.com/lets-blade/blade,2015-06-10T03:35:49Z,5756,9
JakeWharton/DiskLruCache,https://github.com/JakeWharton/DiskLruCache,2012-01-05T00:36:34Z,5741,0
haifengl/smile,https://github.com/haifengl/smile,2014-11-20T16:28:12Z,5697,24
JakeWharton/u2020,https://github.com/JakeWharton/u2020,2013-11-14T11:58:23Z,5689,0
junit-team/junit5,https://github.com/junit-team/junit5,2015-01-11T19:06:10Z,5664,59
daimajia/AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider,2014-06-02T06:04:17Z,5644,5
dmytrodanylyk/circular-progress-button,https://github.com/dmytrodanylyk/circular-progress-button,2014-06-07T12:58:48Z,5640,2
robolectric/robolectric,https://github.com/robolectric/robolectric,2010-08-28T00:28:25Z,5611,90
amlcurran/ShowcaseView,https://github.com/amlcurran/ShowcaseView,2012-08-14T19:07:36Z,5608,13
nhaarman/ListViewAnimations,https://github.com/nhaarman/ListViewAnimations,2013-03-19T11:59:23Z,5602,14
changmingxie/tcc-transaction,https://github.com/changmingxie/tcc-transaction,2015-12-05T04:27:53Z,5590,6
hongyangAndroid/FlowLayout,https://github.com/hongyangAndroid/FlowLayout,2015-08-28T09:32:31Z,5566,0
knightliao/disconf,https://github.com/knightliao/disconf,2014-05-30T09:39:27Z,5547,12
emilsjolander/StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,2012-03-11T18:29:18Z,5528,16
sockeqwe/mosby,https://github.com/sockeqwe/mosby,2015-03-25T00:59:19Z,5494,15
hanks-zyh/HTextView,https://github.com/hanks-zyh/HTextView,2015-12-19T16:34:59Z,5481,0
raphw/byte-buddy,https://github.com/raphw/byte-buddy,2013-11-25T19:38:03Z,5471,265
dm77/barcodescanner,https://github.com/dm77/barcodescanner,2014-02-24T21:14:09Z,5453,6
facebookarchive/rebound,https://github.com/facebookarchive/rebound,2013-10-11T01:12:37Z,5453,10
microg/GmsCore,https://github.com/microg/GmsCore,2014-04-23T19:28:47Z,5444,29
wiremock/wiremock,https://github.com/wiremock/wiremock,2011-10-09T20:27:24Z,5428,9
Evernote/android-job,https://github.com/Evernote/android-job,2015-08-20T19:36:54Z,5385,31
jgilfelt/SystemBarTint,https://github.com/jgilfelt/SystemBarTint,2013-11-17T12:35:05Z,5381,3
journeyapps/zxing-android-embedded,https://github.com/journeyapps/zxing-android-embedded,2012-11-28T16:36:39Z,5370,9
btraceio/btrace,https://github.com/btraceio/btrace,2014-08-28T18:58:24Z,5365,30
wasabeef/Blurry,https://github.com/wasabeef/Blurry,2015-07-23T14:12:08Z,5362,0
jOOQ/jOOQ,https://github.com/jOOQ/jOOQ,2011-04-17T10:43:33Z,5352,0
scribejava/scribejava,https://github.com/scribejava/scribejava,2010-09-05T19:11:40Z,5338,9
hibernate/hibernate-orm,https://github.com/hibernate/hibernate-orm,2010-10-04T16:15:52Z,5328,16
XRecyclerView/XRecyclerView,https://github.com/XRecyclerView/XRecyclerView,2015-11-18T08:14:22Z,5321,0
evant/gradle-retrolambda,https://github.com/evant/gradle-retrolambda,2013-08-05T02:09:58Z,5319,37
commonsguy/cw-omnibus,https://github.com/commonsguy/cw-omnibus,2012-03-12T14:12:06Z,5309,36
hazelcast/hazelcast,https://github.com/hazelcast/hazelcast,2012-03-21T12:25:18Z,5280,183
yixia/VitamioBundle,https://github.com/yixia/VitamioBundle,2012-10-19T08:40:49Z,5275,0
lucasr/twoway-view,https://github.com/lucasr/twoway-view,2013-01-18T20:55:23Z,5250,0
motianhuo/wechat,https://github.com/motianhuo/wechat,2015-05-25T02:33:37Z,5249,0
h6ah4i/android-advancedrecyclerview,https://github.com/h6ah4i/android-advancedrecyclerview,2015-01-24T16:14:39Z,5246,1
Clans/FloatingActionButton,https://github.com/Clans/FloatingActionButton,2015-03-21T12:36:16Z,5235,14
gephi/gephi,https://github.com/gephi/gephi,2011-10-22T03:14:46Z,5234,19
xxv/android-lifecycle,https://github.com/xxv/android-lifecycle,2014-04-18T14:26:22Z,5217,0
TommyLemon/Android-ZBLibrary,https://github.com/TommyLemon/Android-ZBLibrary,2015-08-20T16:03:53Z,5213,25
Yalantis/Side-Menu.Android,https://github.com/Yalantis/Side-Menu.Android,2015-01-13T11:11:27Z,5212,2
thinkaurelius/titan,https://github.com/thinkaurelius/titan,2012-02-25T22:53:53Z,5212,0
Karumi/Dexter,https://github.com/Karumi/Dexter,2015-11-17T13:14:43Z,5191,33
square/otto,https://github.com/square/otto,2012-06-27T19:06:49Z,5190,0
danikula/AndroidVideoCache,https://github.com/danikula/AndroidVideoCache,2015-04-01T11:25:52Z,5165,20
vavr-io/vavr,https://github.com/vavr-io/vavr,2014-01-30T14:07:25Z,5151,16
auth0/java-jwt,https://github.com/auth0/java-jwt,2014-03-07T15:06:11Z,5150,43
facebook/shimmer-android,https://github.com/facebook/shimmer-android,2015-02-27T22:25:22Z,5141,5
socketio/socket.io-client-java,https://github.com/socketio/socket.io-client-java,2013-04-28T17:04:05Z,5088,5
careercup/ctci,https://github.com/careercup/ctci,2013-03-21T23:01:01Z,5080,0
mybatis/generator,https://github.com/mybatis/generator,2013-02-10T11:14:50Z,5053,11
wequick/Small,https://github.com/wequick/Small,2015-11-27T11:37:20Z,5025,25
Trinea/android-common,https://github.com/Trinea/android-common,2012-06-19T07:49:46Z,5014,1
frogermcs/InstaMaterial,https://github.com/frogermcs/InstaMaterial,2014-11-10T18:56:49Z,5009,1
huanghongxun/HMCL,https://github.com/huanghongxun/HMCL,2015-06-22T08:06:03Z,5000,188
spring-attic/spring-mvc-showcase,https://github.com/spring-attic/spring-mvc-showcase,2011-06-03T15:36:55Z,4988,0
orhanobut/dialogplus,https://github.com/orhanobut/dialogplus,2014-12-12T09:24:44Z,4985,9
google/google-authenticator,https://github.com/google/google-authenticator,2014-10-08T17:54:27Z,4981,0
traex/RippleEffect,https://github.com/traex/RippleEffect,2014-10-14T13:32:51Z,4949,0
lettuce-io/lettuce-core,https://github.com/lettuce-io/lettuce-core,2014-05-10T13:08:46Z,4929,105
