ID;URL;Name;nameWithOwner;Stargazers;createdAt
MDEwOlJlcG9zaXRvcnkyOTkzNTk1;https://github.com/medcl/elasticsearch-analysis-ik;elasticsearch-analysis-ik;medcl/elasticsearch-analysis-ik;14868;2011-12-16T09:01:45Z
MDEwOlJlcG9zaXRvcnk3NTY0MzA5Ng==;https://github.com/material-components/material-components-android;material-components-android;material-components/material-components-android;14683;2016-12-05T16:11:29Z
MDEwOlJlcG9zaXRvcnk1MzQ5NTY1;https://github.com/prestodb/presto;presto;prestodb/presto;14536;2012-08-09T01:03:37Z
MDEwOlJlcG9zaXRvcnkxNjg1MDAzOTc=;https://github.com/justauth/JustAuth;JustAuth;justauth/JustAuth;14512;2019-01-31T09:42:20Z
MDEwOlJlcG9zaXRvcnk4NTM3MTI2Mg==;https://github.com/williamfiset/Algorithms;Algorithms;williamfiset/Algorithms;14478;2017-03-18T02:50:46Z
MDEwOlJlcG9zaXRvcnkxNjAwNTQxMA==;https://github.com/hdodenhof/CircleImageView;CircleImageView;hdodenhof/CircleImageView;14390;2014-01-17T16:44:46Z
MDEwOlJlcG9zaXRvcnkxMTI3MTc5NjM=;https://github.com/android-hacker/VirtualXposed;VirtualXposed;android-hacker/VirtualXposed;14212;2017-12-01T09:00:58Z
MDEwOlJlcG9zaXRvcnk2NTk4NzA0Mw==;https://github.com/baomidou/mybatis-plus;mybatis-plus;baomidou/mybatis-plus;14174;2016-08-18T10:06:53Z
MDEwOlJlcG9zaXRvcnk3NjQxMzE4Ng==;https://github.com/alibaba/ARouter;ARouter;alibaba/ARouter;14121;2016-12-14T01:27:49Z
MDEwOlJlcG9zaXRvcnk1MDE2ODc=;https://github.com/antlr/antlr4;antlr4;antlr/antlr4;14045;2010-02-04T01:36:28Z
MDEwOlJlcG9zaXRvcnk3NTY0MzA5Ng==;https://github.com/material-components/material-components-android;material-components-android;material-components/material-components-android;14683;2016-12-05T16:11:29Z
MDEwOlJlcG9zaXRvcnk1MzQ5NTY1;https://github.com/prestodb/presto;presto;prestodb/presto;14536;2012-08-09T01:03:37Z
MDEwOlJlcG9zaXRvcnkxNjg1MDAzOTc=;https://github.com/justauth/JustAuth;JustAuth;justauth/JustAuth;14512;2019-01-31T09:42:20Z
MDEwOlJlcG9zaXRvcnk4NTM3MTI2Mg==;https://github.com/williamfiset/Algorithms;Algorithms;williamfiset/Algorithms;14478;2017-03-18T02:50:46Z
MDEwOlJlcG9zaXRvcnkxNjAwNTQxMA==;https://github.com/hdodenhof/CircleImageView;CircleImageView;hdodenhof/CircleImageView;14390;2014-01-17T16:44:46Z
MDEwOlJlcG9zaXRvcnkxMTI3MTc5NjM=;https://github.com/android-hacker/VirtualXposed;VirtualXposed;android-hacker/VirtualXposed;14212;2017-12-01T09:00:58Z
MDEwOlJlcG9zaXRvcnk2NTk4NzA0Mw==;https://github.com/baomidou/mybatis-plus;mybatis-plus;baomidou/mybatis-plus;14174;2016-08-18T10:06:53Z
MDEwOlJlcG9zaXRvcnk3NjQxMzE4Ng==;https://github.com/alibaba/ARouter;ARouter;alibaba/ARouter;14121;2016-12-14T01:27:49Z
MDEwOlJlcG9zaXRvcnk1MDE2ODc=;https://github.com/antlr/antlr4;antlr4;antlr/antlr4;14045;2010-02-04T01:36:28Z
MDEwOlJlcG9zaXRvcnk4ODk3MDU2NA==;https://github.com/Tencent/QMUI_Android;QMUI_Android;Tencent/QMUI_Android;13988;2017-04-21T10:03:18Z
MDEwOlJlcG9zaXRvcnk2MjA3MTY3;https://github.com/mockito/mockito;mockito;mockito/mockito;13757;2012-10-13T20:27:12Z
MDEwOlJlcG9zaXRvcnkyNTIwMTM2MQ==;https://github.com/Konloch/bytecode-viewer;bytecode-viewer;Konloch/bytecode-viewer;13575;2014-10-14T10:26:46Z
MDEwOlJlcG9zaXRvcnkzMTg2NTE3Ng==;https://github.com/lgvalle/Material-Animations;Material-Animations;lgvalle/Material-Animations;13551;2015-03-08T20:54:00Z
MDEwOlJlcG9zaXRvcnkxNzQ3NjU2NDc=;https://github.com/heibaiying/BigData-Notes;BigData-Notes;heibaiying/BigData-Notes;13538;2019-03-10T01:40:01Z
MDEwOlJlcG9zaXRvcnkzMjYxMDMzNg==;https://github.com/orhanobut/logger;logger;orhanobut/logger;13537;2015-03-20T22:30:12Z
MDEwOlJlcG9zaXRvcnk5MTkxNjE=;https://github.com/arduino/Arduino;Arduino;arduino/Arduino;13447;2010-09-17T19:10:36Z
MDEwOlJlcG9zaXRvcnkxOTExNTIz;https://github.com/eclipse-vertx/vert.x;vert.x;eclipse-vertx/vert.x;13444;2011-06-17T14:54:55Z
MDEwOlJlcG9zaXRvcnkyMzQxODUxNw==;https://github.com/apache/hadoop;hadoop;apache/hadoop;13330;2014-08-28T07:00:08Z
MDEwOlJlcG9zaXRvcnkxMDkwMzEx;https://github.com/elastic/logstash;logstash;elastic/logstash;13327;2010-11-18T01:31:50Z
MDEwOlJlcG9zaXRvcnk3NTI3NzAwMw==;https://github.com/thingsboard/thingsboard;thingsboard;thingsboard/thingsboard;13292;2016-12-01T09:33:30Z
MDEwOlJlcG9zaXRvcnkyNzk1NDkyNw==;https://github.com/ben-manes/caffeine;caffeine;ben-manes/caffeine;13290;2014-12-13T08:45:11Z
MDEwOlJlcG9zaXRvcnkxNjM3MjExOTI=;https://github.com/zhisheng17/flink-learning;flink-learning;zhisheng17/flink-learning;13261;2019-01-01T07:38:28Z
MDEwOlJlcG9zaXRvcnkyODU1MDg3Mg==;https://github.com/Bigkoo/Android-PickerView;Android-PickerView;Bigkoo/Android-PickerView;13258;2014-12-28T01:46:38Z
MDEwOlJlcG9zaXRvcnk2NDA1NDQ3OA==;https://github.com/Curzibn/Luban;Luban;Curzibn/Luban;13198;2016-07-24T07:43:21Z
MDEwOlJlcG9zaXRvcnkxMTc5NjU5NzI=;https://github.com/alibaba/DataX;DataX;alibaba/DataX;13057;2018-01-18T10:09:47Z
MDEwOlJlcG9zaXRvcnkyMDU3MDIxNA==;https://github.com/google/tink;tink;google/tink;13051;2014-06-06T16:21:09Z
MDEwOlJlcG9zaXRvcnk0NTM2Mzk1NQ==;https://github.com/lionsoul2014/ip2region;ip2region;lionsoul2014/ip2region;12995;2015-11-02T00:43:13Z
MDEwOlJlcG9zaXRvcnkxNDUwOTgxNDY=;https://github.com/JessYanCoding/AndroidAutoSize;AndroidAutoSize;JessYanCoding/AndroidAutoSize;12885;2018-08-17T09:04:19Z
MDEwOlJlcG9zaXRvcnkxNDczNDg3Ng==;https://github.com/deeplearning4j/deeplearning4j;deeplearning4j;deeplearning4j/deeplearning4j;12820;2013-11-27T02:03:28Z
R_kgDOHMKsgg;https://github.com/Grasscutters/Grasscutter;Grasscutter;Grasscutters/Grasscutter;12731;2022-04-17T12:43:46Z
